Page URL,Image URL,Alt Text,Alt Missing
https://www.nescafe.com/nz/dolce-gusto,https://www.nescafe.com/nz/sites/default/files/latest_logo_white.png,Nescafe Logo,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",GOLD,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",NESCAFÉ® Classic​,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",NESCAFÉ® Coffee Sachets,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",NESCAFÉ Espresso Concentrate,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",NESCAFÉ Espresso Concentrate,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Dolce Gusto,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",nescafé farmers origins coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",black coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Black coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",frothy coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",frothy coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Cappucino Coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",cappuccino coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",latte coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",latte coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",mocha coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",mocha coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ristretto coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",ristretto coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Espresso Coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",espresso coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",lungo coffee,False
https://www.nescafe.com/nz/dolce-gusto,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",lungo coffee,False
