URL,Status Code,Title,Title Length,Meta Description,Meta Description Length,Meta Keywords,H1 Count,H1 Text,H2 Count,Response Time (ms),Content Type,Content Length
https://www.madewithnestle.ca/blog/nurturing-brain-health-vibrant-mind-and-nerve-function,200,Nurturing Brain Health for a Vibrant Mind and Nerve Function | Nestlé,69,"As we age it's common to experience cognitive decline. Simple lifestyle changes can support healthy brain and nerve function, including regular exercise.",153,,1,Nurturing Brain Health for a Vibrant Mind and Nerve Function,3,4468,text/html; charset=UTF-8,238335
https://www.madewithnestle.ca/boost/boost-high-protein-chocolate,200,BOOST High Protein - Chocolate | madewithnestle.ca,50,Boost High Protein - Made with Nestle® Canada. BOOST High Protein Chocolate is packed with 15g of protein plus 26 vitamins and minerals. For those looking to stay strong.,170,,1,BOOST High Protein - Chocolate,12,5623,text/html; charset=UTF-8,2071355
https://www.madewithnestle.ca/news/protein-key-anti-aging,200,Is Protein the Key to Anti-Aging? | Boost Nutrition,51,Ask a Dietician: Experts recommend higher protein intakes for adults 55 and over. These strategies from Registered Dietician Vincci Tsui will help you add more.,160,"boost,nhs,news,english",1,Is Protein the Key to Anti-Aging?,5,5231,text/html; charset=UTF-8,267316
https://www.madewithnestle.ca/get-enough-protein,200,How To Get Enough Protein In Your Diet | Boost Nutrition,56,Ask a Dietician: Registered Dietician Dorothy Lyons explains why protein-rich foods can help you stay energized throughout the day – and how to get enough.,155,"boost,nhs,news,english",1,Get enough protein to keep your energy levels steady throughout the day,5,929,text/html; charset=UTF-8,268175
https://www.madewithnestle.ca/news/packing-protein-you-age,200,Protein Requirements As You Age | Boost Nutrition,49,Ask a Dietician: Registered dietician Diana Steele explains that how much protein we need is based on our body and age. Here's how to be sure you get enough.,157,"boost,nhs,news,english",1,Packing on the Protein as You Age,5,4937,text/html; charset=UTF-8,266356
https://www.madewithnestle.ca/all-about-protein,200,How Much Protein Do You Need In Your Diet? | Boost Nutrition,60,"Ask a Dietician: Registered dietician Vincci Tsui explains what protein is, why it's important, how much protein you need, and some of the best food sources.",157,"boost,nhs,news,english",1,"All About Protein: What, Where, How Much and More",9,4192,text/html; charset=UTF-8,273500
https://www.madewithnestle.ca/news/pros-protein,200,The Top Sources and Benefits of Protein | Boost Nutrition,57,Ask a Dietician: Protein is one of the most important parts of your diet. Registered Dietician Dorothy Lyons teaches you how much you need and where to get it.,159,"boost,nhs,news,english",1,The Pros of Protein,7,914,text/html; charset=UTF-8,271621
https://www.madewithnestle.ca/boost/boost-kids-essentials-chocolate,200,BOOST Kids Essentials Chocolate | Made with nestle,50,"BOOST Kids Essentials Chocolate is a ready-to-drink nutritional supplement specially designed to meet the needs of children aged 4 to 12 years. Packed with 8g protein, 26 essential vitamins and minerals, and 2g fibre, BOOST Kids Essentials is an excellent way to complement your child's diet. Whether enjoyed as a snack or a top-up at mealtime, this drink offers extra nutrition to help fuel your child’s day. Packed with benefits, BOOST Kids Essentials provides protein to help build and maintain muscle and help build and repair body tissues. It supports the immune system with a powerful combination of vitamins A & C, zinc, and iron. Plus, with calcium and other vital nutrients, it helps maintain strong bones and teeth. Kosher and gluten-free, it contains no artificial flavours or colours. Plus it comes with a great taste guarantee – your kids will love it, or your money back (terms and conditions apply). Give your child the nutrients they need with BOOST Kids Essentials Chocolate.",992,,1,BOOST Kids Essentials Chocolate,10,5080,text/html; charset=UTF-8,2080015
https://www.madewithnestle.ca/boost/boost-kids-fruit-essentials,200,BOOST Kids Fruit Essentials | Made with nestle,46,"BOOST Kids Fruit Essentials Strawberry Banana is a ready-to-drink nutritional supplement designed for kids aged 4 to 12 years. Made with real fruit, it combines strawberry, banana and apple purées for a delicious beverage your kids will love. Packed with 8g of protein and 26 essential vitamins and minerals, this drink complements your child’s diet, providing extra nutrition as a snack or a top-up after a meal. It helps build and repair tissues, supports muscle development, and contributes to strong bones and teeth with calcium and other key nutrients. BOOST Kids Fruit Essentials also promotes immune health with a powerful blend of vitamins A and C, zinc, and iron. Kosher, Gluten-free with no artificial flavours or colours, it’s thoughtfully crafted to meet your family’s dietary needs. Backed by a great taste guarantee (terms and conditions apply), BOOST Kids Fruit Essentials Strawberry Banana is a convenient and tasty treat for your child that supports their growth and development.",996,,1,BOOST Kids Fruit Essentials,10,5416,text/html; charset=UTF-8,2080589
https://www.madewithnestle.ca/boost/boost-kids-fruit-essentials-tropical,200,BOOST Kids Fruit Essentials Tropical | Made with nestle,55,"BOOST Kids Fruit Essentials Tropical is a ready-to-drink nutritional supplement designed for kids aged 4 to 12 years. Made with real fruit, it combines peach, mango, banana, and apple purées for a delicious beverage your kids will love. Packed with 8g of protein and 26 essential vitamins and minerals, this drink complements your child’s diet, providing extra nutrition as a snack or a top-up after a meal. It helps build and repair tissues, supports muscle development, and contributes to strong bones and teeth with calcium and other key nutrients. BOOST Kids Fruit Essentials also promotes immune health with a powerful blend of vitamin A, vitamin C, zinc, and iron. Kosher, Gluten-free and free from artificial flavours and colours, it’s thoughtfully crafted to meet your family’s dietary needs. Backed by a great taste guarantee (terms and conditions apply), BOOST Kids Fruit Essentials Tropical is a convenient and tasty treat for your child that supports their growth and development.",992,,1,BOOST Kids Fruit Essentials Tropical,10,5145,text/html; charset=UTF-8,2079972
https://www.madewithnestle.ca/boost/boost-kids-essentials-vanilla,200,BOOST Kids Essentials Vanilla | Made with nestle,48,"BOOST Kids Essentials Vanilla is a ready-to-drink nutritional supplement specially designed to meet the needs of children aged 4 to 12 years. Packed with 8g protein, 26 essential vitamins and minerals, and 2g fibre, BOOST Kids Essentials is an excellent way to complement your child's diet. Whether enjoyed as a snack or a top-up at mealtime, this drink offers extra nutrition to help fuel your child’s day. Packed with benefits, BOOST Kids Essentials provides protein to help build and maintain muscle and help build and repair body tissues. It supports the immune system with a powerful combination of vitamins A & C, zinc, and iron. Plus, with calcium and other vital nutrients, it helps maintain strong bones and teeth. Kosher and gluten-free, it contains no artificial flavours or colours. Plus, it comes with a great taste guarantee – your kids will love it, or your money back (terms and conditions apply). Give your child the nutrients they need with BOOST Kids Essentials Vanilla.",989,,1,BOOST Kids Essentials Vanilla,10,4612,text/html; charset=UTF-8,2079580
https://www.madewithnestle.ca/boost/boost-protein-shake-chocolate,200,BOOST Protein and Shake - Chocolate | madewithnestle.ca,55,"Boost Protein - Made with Nestle® Canada. With 27g of chocolatey muscle-building protein, BOOST Protein+ Shake is a vitamin-packed meal replacement for your lifestyle.",167,,1,BOOST Protein and Shake - Chocolate,11,5702,text/html; charset=UTF-8,2100945
https://www.madewithnestle.ca/boost/boost-pudding-chocolate,200,BOOST Pudding Chocolate | Made with nestle,42,"BOOST Chocolate Pudding is a nutritionally complete oral nutrition supplement. Each 142g serving provides 230 calories and 7g of protein. Kosher and gluten-free, this ready-to-eat pudding can be consumed as a snack or as a dessert. Be sure to try BOOST Vanilla Pudding, too! BOOST Pudding can be stored, unopened, in a cool dry place. Avoid freezing or high temperatures. Once opened, cover, refrigerate, and use within 24 hours. For oral use only, as directed by a healthcare professional.",490,,1,BOOST Pudding Chocolate,13,4207,text/html; charset=UTF-8,2100763
https://www.madewithnestle.ca/boost/boost-just-protein-227-g,200,BOOST Just Protein powder - 227g | madewithnestle.ca,52,"BOOST Just Protein Powder (227g) is unflavoured, sugar-free whey protein powder. Add it to almost anything for 18g of instant protein per 21g serving. Find it online.",166,"boost,nhs,nhs_retail,product,english",1,BOOST Just Protein 227 g,12,5364,text/html; charset=UTF-8,2060447
https://www.madewithnestle.ca/boost/boost-224-vanilla,200,"BOOST 2.24, Vanilla | Discover Made with nestle",47,"BOOST® 2.24 is a nutritionally complete, ready-to-drink oral supplement. Available in a deliciously smooth vanilla flavour.",123,,1,"BOOST 2.24, Vanilla",11,9125,text/html; charset=UTF-8,2099774
https://www.madewithnestle.ca/boost/boost-224-calml-chocolate,200,"BOOST 2.24 Cal/mL, Chocolate | Discover Made with nestle",56,"BOOST® 2.24 is a nutritionally complete, ready-to-drink oral supplement. Available in a deliciously creamy chocolate flavour.",125,,1,"BOOST 2.24 Cal/mL, Chocolate",11,8460,text/html; charset=UTF-8,2099810
https://www.madewithnestle.ca/boost/boost-224-calml-strawberry,200,"BOOST 2.24 Cal/mL, Strawberry | Discover Made with nestle",57,"BOOST® 2.24 is a nutritionally complete, ready-to-drink oral supplement. Available in a deliciously fruity strawberry flavour.",126,,1,"BOOST 2.24 Cal/mL, Strawberry",11,1130,text/html; charset=UTF-8,2099817
https://www.madewithnestle.ca/boost/boost-pudding-vanilla,200,BOOST Pudding Vanilla | Made with nestle,40,"BOOST Vanilla Pudding is a nutritionally complete oral nutrition supplement. Each 142g serving provides 230 calories and 7 g of protein. Kosher and gluten-free, this ready-to-eat pudding can be consumed as a snack or as a dessert. Be sure to try BOOST Chocolate Pudding, too! BOOST Pudding can be stored, unopened, in a cool dry place. Avoid freezing or high temperatures. Once opened, cover, refrigerate, and use within 24 hours. For oral use only, as directed by a healthcare professional.",491,,1,BOOST Pudding Vanilla,11,1076,text/html; charset=UTF-8,2100603
https://www.madewithnestle.ca/recipes/boost-original-tropical-smoothie-pops,200,BOOST Original Tropical Smoothie Pops,37,"BOOST Original Tropical Smoothie Pops. Tropical fruits make these into exotic and refreshing pops, perfect for a hot summer day.",128,,1,BOOST Original Tropical Smoothie Pops,3,5612,text/html; charset=UTF-8,5082637
https://www.madewithnestle.ca/recipe/hidden-veggie-orange-smoothie,200,Veggie & Fruit Smoothie Recipe with BOOST,41,"Packed with all the vitamins, minerals and nutrition of your favourite fruits and vegetables, this smoothie tastes good AND it's good for you.",142,,1,Hidden Veggie Orange Smoothie,3,4771,text/html; charset=UTF-8,3504298
https://www.madewithnestle.ca/recipe/cereal-clusters,200,Crunchy Cereal Clusters: Your New Go-To Snack,45,"Cereal Clusters. This easy to make recipe is an amazing afternoon treat or fun, on-the-go snack. We make it all with a drive to constantly improve our products.",160,,1,Cereal Clusters,3,5713,text/html; charset=UTF-8,5403599
https://www.madewithnestle.ca/recipe/classic-filipino-silvana-cookies,200,Classic Filipino Silvana Cookies,32,"This absolute classic Filipino sweet treat is a frozen sandwich cookies that includes a cashew meringue, rich buttercream and cookie crumb coating.",147,,1,Classic Filipino Silvana Cookies,3,5700,text/html; charset=UTF-8,3943355
https://www.madewithnestle.ca/boost-taste-guarantee-offer,200,BOOST Taste Guarantee | madewithnestle.ca,41,"BOOST has the nutrition your body needs – and a taste you'll love. If for any reason you don't love the taste, we'll give you a full refund*. Learn more.",153,,1,BOOST Taste Guarantee,2,806,text/html; charset=UTF-8,160614
https://www.madewithnestle.ca/boost/articles,200,Boost Inspiration | Made with nestle,36,"Take advantage of expert advice on topics like fitness and vitality. When diet’s not enough, get the protein, vitamins and minerals you need to keep doing what you love.",169,,1,Get Inspired.,4,840,text/html; charset=UTF-8,210226
https://www.madewithnestle.ca/help/refund-form,200,Great Guarantee Refund Form | Made with nestle,46, ,1,,1,Great Guarantee Refund Form,0,928,text/html; charset=UTF-8,154137
https://www.madewithnestle.ca/boost/boost-original-vanilla,200,BOOST Original - Vanilla | madewithnestle.ca,44,"The vanilla flavour you love. The vitamins, minerals and protein you need. BOOST is convenient, complete nutrition for your active lifestyle. Find yours online.",160,"boost,nhs,nhs_retail,product,english",1,BOOST Original - Vanilla,12,6066,text/html; charset=UTF-8,2072704
https://www.madewithnestle.ca/help/connect-with-Nestle-Canada,200,Contact Nestlé Canada | Discover Made with Nestlé,49,"Contact Nestlé Canada directly via phone, email or live chat if you’re unable to find the answers you need at contact.nestle.ca",127,"contact, support, help, communicate, customer service, consumer service, call, complaint, concern, chat, talk, assistance, assist, email",1,Connect with us,0,814,text/html; charset=UTF-8,139714
https://www.madewithnestle.ca/original-ffb,200,"BOOST Variety Pack - Chocolate, Strawberry, Chocolate Latte, Vanilla",68,"BOOST® Original Meal Replacement Drink is a convenient and delicious way to help you get your nutrition when you’re on-the-go, or not getting enough in your daily diet.",168,"boost,nhs,nhs_retail,product,english",1,"BOOST Original - Variety (Chocolate, Strawberry, Chocolate Latte, Vanilla)",12,5646,text/html; charset=UTF-8,2073391
https://www.madewithnestle.ca/fruit-flavoured,200,"BOOST Variety Pack - Orange, Peach, Wildberry | madewithnestle.ca",65,BOOST Fruit Flavoured Beverage is no ordinary drink box – it’s complete nutrition! Packed with 8.8g of protein and 23 essential vitamins and minerals per 237ml.,160,"boost,nhs,nhs_retail,product,english",1,BOOST Fruit Flavoured Complete Nutrition Wildberry,12,5100,text/html; charset=UTF-8,2069679
https://www.madewithnestle.ca/help/contact,200,How can we help? | Discover Made with Nestle,44,"Please fill out the form with your questions/concerns. If you are contacting us with a product concern, include the UPC and additional product details you have.",160,,1,How can we help?,0,1183,text/html; charset=UTF-8,160975
https://www.madewithnestle.ca/boost/boost-juice-fruit-flavoured-beverage-orange,200,Boost Juice Fruit Flavoured Beverage - Orange | madewithnestle.ca,65,"Boost Juice - Made with Nestle® Canada. The orange flavour you love. The vitamins, minerals and protein you need. BOOST is convenient, complete nutrition",153,"boost,nhs,nhs_retail,product,english",1,BOOST Juice Fruit Flavoured Beverage - Orange,12,1067,text/html; charset=UTF-8,2069295
https://www.madewithnestle.ca/boost/boost-fruit-flavoured-beverage-peach,200,BOOST Fruit Flavoured Beverage - Peach | madewithnestle.ca,58,"The peach flavour you love. The vitamins, minerals and protein you need. BOOST is convenient, complete nutrition for your active lifestyle. Find yours online.",158,"boost,nhs,nhs_retail,product,english",1,BOOST Fruit Flavoured Beverage - Peach,12,1119,text/html; charset=UTF-8,2069220
https://www.madewithnestle.ca/boost/boost-fruit-flavoured-beverage-wildberry,200,BOISSON BOOST Fruit Flavoured Beverage - Wildberry | madewithnestle.ca,70,"Boisson Boost - Made with Nestle® Canada. The wildberry flavour you love. The vitamins, minerals and protein you need. BOOST is complete nutrition for your lifestyle.",166,"boost,nhs,nhs_retail,product,english",1,Boisson BOOST Fruit Flavoured Beverage - Wildberry,12,5090,text/html; charset=UTF-8,2068863
https://www.madewithnestle.ca/help/retailers-and-businesses,200,Retailers and Businesses Questions and Contacts,47,Find information you need as a business owner or retailer and the answers to common questions and concerns. Please connect with the appropriate Customer Care team.,163,"Orders, Returns, Distributor, damaged, supply, inventory, stock, buy",1,Retailers and Businesses,0,714,text/html; charset=UTF-8,142245
https://www.madewithnestle.ca/news/nutrition-strategies-active-older-canadians,200,Healthy Diet Tips For Active Adults Over 50 | Boost Nutrition,61,"Ask a Dietician: Registered Dietician Diana Steele explains that while most boomers say they try to eat healthy, they only manage to do so about half the time.",159,"boost,nhs,news,english",1,Nutrition Strategies for Active Older Canadians,5,4359,text/html; charset=UTF-8,268262
https://www.madewithnestle.ca/ice-cream-orders-retailers,200,Placing & Tracking Ice Cream Orders for Retailers,49,"If you're a retailer looking to order ice cream, inquire about credit, tracking or have an issue with your freezer, please contact 1-888-763-7853 for assistance.",161,"Sell + ice cream, Sell + Drumstick, Sell + Haagen-Dazs, Sell + Lifesavers, Sell + Real Fruit, Sell + Parlour, Sell + Real Dairy, Sell + Kids Frozen Treats, Order + ice cream, Order + Drumstick, Order + Haagen-Dazs, Order + Lifesavers, Order + Real Fruit",1,Placing & Tracking Ice Cream Orders for Retailers,1,748,text/html; charset=UTF-8,140674
https://www.madewithnestle.ca/boost/boost-carb-smart-chocolate,200,BOOST Diabetic - Chocolate | madewithnestle.ca,46,BOOST Diabetic Chocolate is tailored for life with diabetes. It’s complete balanced nutrition that fits perfectly with your active lifestyle. Find in online.,157,,1,BOOST Carb Smart - Chocolate,12,1119,text/html; charset=UTF-8,2072153
https://www.madewithnestle.ca/help/contact/emergency-contacts,200,"Emergency Contact Information (Medical, Allergy or Health Concerns)",67,"Your safety is our top priority; if your concern is an emergency related to allergies or health, we recommend consulting with a doctor or medical professional first.",165,,0,,1,890,text/html; charset=UTF-8,134960
https://www.madewithnestle.ca/boost/boost-diabetic-vanilla,200,BOOST Diabetic - Vanilla | madewithnestle.ca,44,BOOST Diabetic Vanilla is tailored for life with diabetes. It’s complete balanced nutrition that fits perfectly with your active lifestyle. Find it online.,155,,1,BOOST Carb Smart - Vanilla,12,1057,text/html; charset=UTF-8,2070895
https://www.madewithnestle.ca/boost/boost-carb-smart-strawberry,200,BOOST Diabetic - Strawberry | madewithnestle.ca,47,BOOST Diabetic Strawberry is tailored for life with diabetes. It’s complete balanced nutrition that fits perfectly with your active lifestyle. Find it online.,158,,1,BOOST Carb Smart - Strawberry,12,5503,text/html; charset=UTF-8,2071118
https://www.madewithnestle.ca/help/article/retailer-ice-cream-customer-care,200,Nestlé Ice Cream Distributor Near Me | Retailer Customer Care,61,"Please contact our Customer Care team icecream.customercare@ca.nestle.com for requests like ""Nestlé’ ice cream distributor near me,"" etc.",137,"Sell + Melted +Ice cream, Sell + Melted + Drumstick, Sell + Melted + Haagen-Dazs, Sell + Melted + Lifesavers, Sell + Melted + Real Fruit, Sell + Melted + Parlour, Sell + Melted + Real Dairy, Sell + Melted + Kids Frozen Treats, Sell + Damaged +Ice cream",1,Business and Retailer Ice Cream Customer Care,1,714,text/html; charset=UTF-8,142723
https://www.madewithnestle.ca/help/article/neste-connect-account-refund-support,200,Nestlé Connect Account Access & Retailer Refund Support,55,Retailer and business partners of Nestle Canada can access their account for returns and refund support via Nestle Connect at www.nestleconnect.ca,146,"Retailer, Business + Account, My account, Food service, Business, Sell + Beverages, Sell + Carnation Hot Chocolate, Sell + Carnation Breakfast, Sell + Goodhost, Sell + Milo, Sell + Nesquik, Sell + Nestea, Sell + Nesfruta, Order + Beverages",1,Nestlé Connect Account Access & Retailer Refund Support,1,815,text/html; charset=UTF-8,142785
https://www.madewithnestle.ca/help/article/buying-selling-resale-retailers,200,Retailers: Buying and Selling Nestlé Products,45,"To buy Nestlé products for resale, contact your nearest wholesaler for small orders or local distributor for bulk orders.",121,"Retail,Business,Sell,Selling,Buy,Buying,Import,Export,Resell,Reselling,Reseller, wholesale, wholesaler",1,Retailers: Buying and Selling Nestlé Products,1,964,text/html; charset=UTF-8,144254
https://www.madewithnestle.ca/help/article/retailers-nestle-product-claims-inquiries,200,Retailers: Nestlé Product Claims & Inquiries,44,"Our Nestlé Connect Program allows eligible vendors to claim expired or damaged Nestlé chocolate, beverage, and nutrition products.",130,"Expired + Beverages, Expired + Carnation Hot Chocolate, Expired + Carnation Breakfast, Expired + Goodhost, Expired + Milo, Expired + Nesquik, Expired + Nestea, Expired + Nesfruta, Damaged + Beverages, Damaged + Carnation Hot Chocolate",1,Retailers: Nestlé Product Claims & Inquiries,1,912,text/html; charset=UTF-8,144645
https://www.madewithnestle.ca/boost/boost-original-chocolate-latte,200,BOOST Chocolate Latte Meal Replacement | madewithnestle.ca,58,Give your body a Chocolate Latte flavoured BOOST and get the on-the-go nutrition you need to help you stay strong and healthy. Find yours on our website.,153,"boost,nhs,nhs_retail,product,english",1,BOOST Original - Chocolate Latte,12,5694,text/html; charset=UTF-8,2072988
https://www.madewithnestle.ca/boost/boost-original-strawberry,200,BOOST Strawberry Meal Replacement | madewithnestle.ca,53,BOOST Strawberry is a nutritious supplement that’s a convenient way to satisfy your hunger with the delicious taste of sweet strawberries. Find yours online.,157,"boost,nhs,nhs_retail,product,english",1,BOOST Original - Strawberry,12,5812,text/html; charset=UTF-8,2072746
https://www.madewithnestle.ca/boost/articles?_wrapper_format=html&page=1,200,Boost Inspiration | Made with nestle,36,"Take advantage of expert advice on topics like fitness and vitality. When diet’s not enough, get the protein, vitamins and minerals you need to keep doing what you love.",169,,1,Get Inspired.,4,4250,text/html; charset=UTF-8,210708
https://www.madewithnestle.ca/video/team-homan-does-30-second-trailer,200,Team Homan Does 30 second trailer | Made with nestle,52,"Team Homan Does – NEW SERIES BY BOOST® . Whether you want extra protein, less sugars, more calories or simply great nutrition, there’s a BOOST® Nutritional Product.",164,,1,Team Homan Does 30 second trailer,2,3273,text/html; charset=UTF-8,159459
https://www.madewithnestle.ca/boost/articles?_wrapper_format=html&page=2,200,Boost Inspiration | Made with nestle,36,"Take advantage of expert advice on topics like fitness and vitality. When diet’s not enough, get the protein, vitamins and minerals you need to keep doing what you love.",169,,1,Get Inspired.,4,3548,text/html; charset=UTF-8,210737
https://www.madewithnestle.ca/video/5-key-nutrients-maintain-healthy-nails,200,5 Key Nutrients to Maintain Healthy Nails | Made with nestle,60,"Registered Dietitian, Michelle Jaelin shares the 5 most important nutrients to maintain strong, healthy nails.",110,"boost,nhs,video,english",1,5 Key Nutrients to Maintain Healthy Nails,4,4064,text/html; charset=UTF-8,258440
https://www.madewithnestle.ca/boost/articles?_wrapper_format=html&page=3,200,Boost Inspiration | Made with nestle,36,"Take advantage of expert advice on topics like fitness and vitality. When diet’s not enough, get the protein, vitamins and minerals you need to keep doing what you love.",169,,1,Get Inspired.,4,3610,text/html; charset=UTF-8,210739
https://www.madewithnestle.ca/video/boost-high-protein-strawberry-sesame-smoothie,200,BOOST High Protein Strawberry Sesame Smoothie | Made with nestle,64,Our High Protein Strawberry Sesame Smoothie to awaken the senses gently and deliver an approachable and flavourful cup of joy.,126,"boost,nhs,video,english",1,BOOST High Protein Strawberry Sesame Smoothie,2,3568,text/html; charset=UTF-8,159795
https://www.madewithnestle.ca/boost/articles?_wrapper_format=html&page=4,200,Boost Inspiration | Made with nestle,36,"Take advantage of expert advice on topics like fitness and vitality. When diet’s not enough, get the protein, vitamins and minerals you need to keep doing what you love.",169,,1,Get Inspired.,4,3570,text/html; charset=UTF-8,204810
https://www.madewithnestle.ca/video/boost-just-protein-chai-spice-power-bowl,200,BOOST Just Protein Chai-Spice Power Bowl | Made with nestle,59,"Madewithnestle.ca - Relax, make a short pause & enjoy our entertaining & fun video: BOOST just protein chai spice power bowl",124,"boost,nhs,video,english",1,BOOST Just Protein Chai-Spice Power Bowl,2,4404,text/html; charset=UTF-8,159670
https://www.madewithnestle.ca/video/boost-just-protein-tropical-coconut-cups,200,BOOST Just Protein Tropical Coconut Cups | Made with nestle,59,"Madewithnestle.ca - Relax, make a short pause & enjoy our entertaining & fun video: BOOST Just Protein Tropical Coconut Cups. Learn more now.",141,"boost,nhs,video,english",1,BOOST Just Protein Tropical Coconut Cups,2,4601,text/html; charset=UTF-8,159720
